,Open,High,Low,Close,Volume
2021-01-01 03:30:00,28923.63000000,29470.00000000,28690.17000000,29278.40000000,11560.45655300
2021-01-01 07:30:00,29278.41000000,29395.00000000,28806.54000000,29092.83000000,7308.91027400
2021-01-01 11:30:00,29092.84000000,29402.57000000,28872.24000000,29313.49000000,8283.70531900
2021-01-01 15:30:00,29313.49000000,29600.00000000,29030.14000000,29188.67000000,11794.94951500
2021-01-01 19:30:00,29188.67000000,29360.00000000,28624.57000000,29029.04000000,9850.96534500
2021-01-01 23:30:00,29029.04000000,29338.89000000,28880.37000000,29331.69000000,5383.93800500
2021-01-02 03:30:00,29331.70000000,29469.00000000,28946.53000000,29351.95000000,7393.02852600
2021-01-02 07:30:00,29351.95000000,29820.50000000,29220.00000000,29750.00000000,9865.64284500
2021-01-02 11:30:00,29751.47000000,29899.00000000,29473.91000000,29755.00000000,9226.80460800
2021-01-02 15:30:00,29754.99000000,31800.00000000,29741.39000000,31691.29000000,34028.97339900
2021-01-02 19:30:00,31691.09000000,33300.00000000,31616.42000000,33027.20000000,34849.61779800
2021-01-02 23:30:00,33027.20000000,33061.37000000,30300.00000000,32178.33000000,34629.80618600
2021-01-03 03:30:00,32176.45000000,32884.09000000,31962.99000000,32573.87000000,10890.30290700
2021-01-03 07:30:00,32576.11000000,34778.11000000,32450.00000000,34452.34000000,26286.12629600
2021-01-03 11:30:00,34451.78000000,34670.41000000,33403.00000000,34413.53000000,22651.53286700
2021-01-03 15:30:00,34413.53000000,34600.00000000,32727.00000000,33506.62000000,23240.07717700
2021-01-03 19:30:00,33505.15000000,33822.69000000,32267.00000000,32772.21000000,22427.18764300
2021-01-03 23:30:00,32775.10000000,33861.92000000,32600.00000000,33000.05000000,15462.33986000
2021-01-04 03:30:00,33000.05000000,33588.00000000,32400.25000000,33505.16000000,14536.79062000
2021-01-04 07:30:00,33505.15000000,33600.00000000,31505.00000000,32068.84000000,21398.87190900
2021-01-04 11:30:00,32068.84000000,32567.88000000,28130.00000000,30743.06000000,46591.47102500
2021-01-04 15:30:00,30742.99000000,32185.67000000,30454.25000000,31745.72000000,26592.53945300
2021-01-04 19:30:00,31745.71000000,31920.00000000,30626.36000000,31665.51000000,19886.66060300
2021-01-04 23:30:00,31665.52000000,32031.01000000,30856.08000000,31988.71000000,11893.55208000
2021-01-05 03:30:00,31989.75000000,32853.38000000,31130.86000000,31200.00000000,20813.07860000
2021-01-05 07:30:00,31190.04000000,31538.45000000,29900.00000000,30817.77000000,23019.05717800
2021-01-05 11:30:00,30817.78000000,31821.94000000,30817.78000000,31776.66000000,13255.60110000
2021-01-05 15:30:00,31776.66000000,32375.07000000,31111.78000000,32099.98000000,16243.27636900
2021-01-05 19:30:00,32099.97000000,34187.09000000,31763.23000000,33697.75000000,23832.16575800
2021-01-05 23:30:00,33693.80000000,34360.00000000,33318.00000000,33949.53000000,18886.81803300
2021-01-06 03:30:00,33949.53000000,34170.00000000,33288.00000000,34117.59000000,15779.35387900
2021-01-06 07:30:00,34116.76000000,35766.58000000,34109.83000000,34676.40000000,26152.96499000
2021-01-06 11:30:00,34666.80000000,35200.00000000,33357.90000000,34918.53000000,21063.05056700
2021-01-06 15:30:00,34918.54000000,35088.00000000,34052.42000000,34566.19000000,18644.31193900
2021-01-06 19:30:00,34566.18000000,35695.00000000,34372.92000000,34816.72000000,18876.49598000
2021-01-06 23:30:00,34818.95000000,36939.21000000,34280.00000000,36769.36000000,26623.02395500
2021-01-07 03:30:00,36769.36000000,37699.00000000,36422.71000000,37454.48000000,19662.24662600
2021-01-07 07:30:00,37452.62000000,37700.80000000,36710.00000000,36859.85000000,16315.18215800
2021-01-07 11:30:00,36863.04000000,37913.72000000,36300.00000000,37822.09000000,17213.96891800
2021-01-07 15:30:00,37825.64000000,38970.42000000,37518.00000000,38970.42000000,22645.70147700
2021-01-07 19:30:00,38970.41000000,40365.00000000,36500.00000000,39062.00000000,39368.56018200
2021-01-07 23:30:00,39061.99000000,39969.00000000,38352.88000000,39432.28000000,17620.04107600
2021-01-08 03:30:00,39432.48000000,39699.87000000,36500.00000000,38347.10000000,23563.55820700
2021-01-08 07:30:00,38347.11000000,39143.80000000,37563.92000000,38930.55000000,17678.05242000
2021-01-08 11:30:00,38929.56000000,41500.45000000,38222.00000000,41286.67000000,26858.31322800
2021-01-08 15:30:00,41286.67000000,41950.00000000,39777.00000000,40829.08000000,29703.86386100
2021-01-08 19:30:00,40829.07000000,41600.00000000,39800.00000000,40365.09000000,20523.08366000
2021-01-08 23:30:00,40365.09000000,40937.77000000,38652.00000000,40582.81000000,21463.08612300
2021-01-09 03:30:00,40586.96000000,40976.13000000,39500.00000000,40211.59000000,13875.82436000
2021-01-09 07:30:00,40209.91000000,40490.00000000,38720.00000000,39638.61000000,12464.02114400
2021-01-09 11:30:00,39639.21000000,41237.44000000,39290.86000000,40565.77000000,14548.75654100
2021-01-09 15:30:00,40565.77000000,41380.00000000,40200.00000000,40525.15000000,13783.07301000
2021-01-09 19:30:00,40525.16000000,40880.00000000,39869.00000000,40665.91000000,10121.05537700
2021-01-09 23:30:00,40665.91000000,40781.69000000,39928.91000000,40088.22000000,10993.24924300
2021-01-10 03:30:00,40088.22000000,41350.00000000,40087.15000000,40316.64000000,11827.44570400
2021-01-10 07:30:00,40320.67000000,41073.26000000,40050.00000000,40978.57000000,9169.85114000
2021-01-10 11:30:00,40978.57000000,41060.00000000,38888.00000000,39181.76000000,18823.28830300
2021-01-10 15:30:00,39175.09000000,40126.00000000,38450.00000000,39671.81000000,17148.66968400
2021-01-10 19:30:00,39671.82000000,39757.55000000,37111.00000000,37456.77000000,26106.90815400
2021-01-10 23:30:00,37472.40000000,39000.00000000,35111.11000000,38150.02000000,35133.38151800
2021-01-11 03:30:00,38150.02000000,38264.74000000,33600.00000000,35438.23000000,37334.82410300
2021-01-11 07:30:00,35438.23000000,35999.95000000,32538.00000000,34375.34000000,45091.05878000
2021-01-11 11:30:00,34372.25000000,36360.00000000,34020.00000000,34198.56000000,25470.72130000
2021-01-11 15:30:00,34198.55000000,35110.00000000,31115.00000000,31580.00000000,57121.74535300
2021-01-11 19:30:00,31582.82000000,33585.17000000,30420.00000000,32254.62000000,51176.26204200
2021-01-11 23:30:00,32254.63000000,35638.55000000,31408.07000000,35404.47000000,32936.92836500
2021-01-12 03:30:00,35410.37000000,35547.19000000,33677.03000000,34984.96000000,20156.06217800
2021-01-12 07:30:00,34984.95000000,36628.00000000,34520.69000000,36413.60000000,21820.92527800
2021-01-12 11:30:00,36413.60000000,36499.98000000,34757.00000000,35410.99000000,20129.58418600
2021-01-12 15:30:00,35410.99000000,35688.82000000,32531.00000000,33829.40000000,32930.54466900
2021-01-12 19:30:00,33829.40000000,35550.00000000,33819.11000000,34685.11000000,19491.04941000
2021-01-12 23:30:00,34686.10000000,35051.02000000,33260.74000000,34051.24000000,19419.98627500
2021-01-13 03:30:00,34049.15000000,34375.51000000,32380.00000000,33818.50000000,27424.98432500
2021-01-13 07:30:00,33818.50000000,35180.67000000,32800.00000000,34986.90000000,18746.30897400
2021-01-13 11:30:00,34986.90000000,35250.00000000,34200.00000000,34385.48000000,21211.79171000
2021-01-13 15:30:00,34385.48000000,35100.00000000,34017.00000000,34673.90000000,16102.34796600
2021-01-13 19:30:00,34673.90000000,36188.00000000,34388.53000000,36002.25000000,17747.20155000
2021-01-13 23:30:00,36002.24000000,37850.00000000,35704.21000000,37371.38000000,23245.28041300
2021-01-14 03:30:00,37371.38000000,38172.22000000,37000.00000000,37045.13000000,16138.47379100
2021-01-14 07:30:00,37045.13000000,38596.92000000,36701.23000000,38198.34000000,15764.35508000
2021-01-14 11:30:00,38199.52000000,38786.10000000,37862.04000000,38365.86000000,13654.69752900
2021-01-14 15:30:00,38365.86000000,40100.00000000,37707.00000000,39546.01000000,25980.30892200
2021-01-14 19:30:00,39546.01000000,40000.00000000,39212.15000000,39876.98000000,14738.64382600
2021-01-14 23:30:00,39876.97000000,39935.10000000,38259.25000000,39144.50000000,16673.91027300
2021-01-15 03:30:00,39145.21000000,39747.76000000,38450.00000000,38700.00000000,12973.73704200
2021-01-15 07:30:00,38700.00000000,38853.09000000,37554.94000000,38473.08000000,14317.81067800
2021-01-15 11:30:00,38473.07000000,38780.00000000,37923.00000000,38108.88000000,11723.41464400
2021-01-15 15:30:00,38108.87000000,38194.04000000,35258.00000000,35610.72000000,28829.42490300
2021-01-15 19:30:00,35610.79000000,36433.51000000,34408.00000000,35217.26000000,35005.43935100
2021-01-15 23:30:00,35218.94000000,36888.00000000,34801.15000000,36742.22000000,15451.09429800
2021-01-16 03:30:00,36737.43000000,37669.00000000,35852.93000000,36532.92000000,15996.27291900
2021-01-16 07:30:00,36532.92000000,36959.61000000,35520.00000000,36574.86000000,12788.97734700
2021-01-16 11:30:00,36565.74000000,37950.00000000,36375.88000000,37680.00000000,14546.13650000
2021-01-16 15:30:00,37680.00000000,37886.00000000,36671.20000000,37461.99000000,14905.09897900
2021-01-16 19:30:00,37463.46000000,37713.94000000,36200.00000000,36376.39000000,12777.18605000
2021-01-16 23:30:00,36376.39000000,36800.00000000,35357.80000000,35994.98000000,15334.75971300
2021-01-17 03:30:00,35994.98000000,36744.05000000,35520.00000000,36177.00000000,10523.42090700
2021-01-17 07:30:00,36177.00000000,36382.38000000,34518.04000000,34760.90000000,14085.48497000
2021-01-17 11:30:00,34760.91000000,35400.00000000,33850.00000000,35267.17000000,20790.97025700
2021-01-17 15:30:00,35270.00000000,35973.89000000,34666.00000000,35728.47000000,14071.34115800
2021-01-17 19:30:00,35728.47000000,36166.47000000,35514.99000000,35633.91000000,9298.40628400
2021-01-17 23:30:00,35633.90000000,36852.50000000,35506.00000000,35828.61000000,11388.10380800
2021-01-18 03:30:00,35824.99000000,36208.00000000,34842.99000000,35106.25000000,12865.20122300
2021-01-18 07:30:00,35108.27000000,36278.68000000,34800.00000000,36104.61000000,9931.58762100
2021-01-18 11:30:00,36100.55000000,36650.00000000,35771.60000000,36442.08000000,11719.16756000
2021-01-18 15:30:00,36443.91000000,37469.83000000,36047.89000000,36405.98000000,18106.50695400
2021-01-18 19:30:00,36405.99000000,36565.00000000,35400.00000000,35956.14000000,10602.82996700
2021-01-18 23:30:00,35951.83000000,36777.77000000,35755.01000000,36631.27000000,7472.82542500
2021-01-19 03:30:00,36622.46000000,37280.00000000,36364.43000000,36465.30000000,15332.38851500
2021-01-19 07:30:00,36468.31000000,37233.87000000,36002.01000000,37168.82000000,11299.22627900
2021-01-19 11:30:00,37167.92000000,37535.27000000,36750.00000000,37266.49000000,15170.79547700
2021-01-19 15:30:00,37263.73000000,37449.00000000,36610.00000000,37329.40000000,11966.64672700
2021-01-19 19:30:00,37329.40000000,37850.00000000,36052.04000000,36279.82000000,15604.75974100
2021-01-19 23:30:00,36281.66000000,36777.88000000,35844.06000000,35891.49000000,10237.49103000
2021-01-20 03:30:00,35901.94000000,36415.31000000,35000.00000000,35062.49000000,13775.59188400
2021-01-20 07:30:00,35062.49000000,35909.95000000,34737.00000000,35677.14000000,14008.50378700
2021-01-20 11:30:00,35672.86000000,35939.12000000,34000.00000000,34426.17000000,19109.32555500
2021-01-20 15:30:00,34426.17000000,35142.18000000,34020.00000000,34192.17000000,16110.18536300
2021-01-20 19:30:00,34193.11000000,35311.00000000,33400.00000000,35197.12000000,17678.21448900
2021-01-20 23:30:00,35197.12000000,35670.00000000,34482.75000000,35468.23000000,8686.60184000
2021-01-21 03:30:00,35468.23000000,35600.00000000,34230.76000000,34571.09000000,10995.70808400
2021-01-21 07:30:00,34572.42000000,35019.01000000,33971.41000000,34624.27000000,11645.03598400
2021-01-21 11:30:00,34624.27000000,34681.73000000,32009.68000000,32208.62000000,28971.19234000
2021-01-21 15:30:00,32206.89000000,32784.31000000,31037.00000000,31384.09000000,34496.34497800
2021-01-21 19:30:00,31384.19000000,32751.24000000,31038.51000000,32468.66000000,22066.37570500
2021-01-21 23:30:00,32468.66000000,32550.00000000,30071.00000000,30850.13000000,23628.52583500
2021-01-22 03:30:00,30851.99000000,31029.79000000,28850.00000000,30943.40000000,46814.39288700
2021-01-22 07:30:00,30943.40000000,32152.90000000,30615.22000000,30842.45000000,22771.82598200
2021-01-22 11:30:00,30846.59000000,31997.00000000,30500.00000000,31710.88000000,21911.24626300
2021-01-22 15:30:00,31712.09000000,32767.44000000,31286.00000000,32458.42000000,21741.69841900
2021-01-22 19:30:00,32462.79000000,33655.79000000,31955.67000000,33589.52000000,17631.16519500
2021-01-22 23:30:00,33589.52000000,33826.53000000,32580.00000000,32945.17000000,12101.35530300
2021-01-23 03:30:00,32950.00000000,32974.89000000,32053.33000000,32365.01000000,12211.52203000
2021-01-23 07:30:00,32365.00000000,33456.00000000,32267.07000000,32931.18000000,11464.51669100
2021-01-23 11:30:00,32931.17000000,33104.94000000,31511.24000000,31645.49000000,13454.30589500
2021-01-23 15:30:00,31643.90000000,32289.25000000,31390.16000000,31877.10000000,10854.23524900
2021-01-23 19:30:00,31877.10000000,32500.00000000,31759.65000000,32348.79000000,9253.45924300
2021-01-23 23:30:00,32348.78000000,32538.61000000,31812.50000000,32078.00000000,7357.24856700
2021-01-24 03:30:00,32078.00000000,32480.06000000,31630.00000000,32480.05000000,7766.19687000
2021-01-24 07:30:00,32480.06000000,33071.00000000,32346.44000000,32801.15000000,11135.54452200
2021-01-24 11:30:00,32797.21000000,33030.00000000,32465.00000000,32833.37000000,7600.85447100
2021-01-24 15:30:00,32833.37000000,32931.59000000,31858.68000000,31957.05000000,9939.32613500
2021-01-24 19:30:00,31956.90000000,32139.60000000,30900.00000000,31306.29000000,12601.92109500
2021-01-24 23:30:00,31306.29000000,32369.59000000,31250.26000000,32259.90000000,8934.19487300
2021-01-25 03:30:00,32259.45000000,33674.48000000,32175.61000000,33568.18000000,14446.51762800
2021-01-25 07:30:00,33568.17000000,33797.96000000,33045.00000000,33346.95000000,11224.75177900
2021-01-25 11:30:00,33347.19000000,33548.00000000,32750.09000000,33185.26000000,11388.31039300
2021-01-25 15:30:00,33185.25000000,34875.00000000,33050.00000000,34458.31000000,21109.74236500
2021-01-25 19:30:00,34458.31000000,34600.00000000,33373.92000000,33411.54000000,14607.08772500
2021-01-25 23:30:00,33411.54000000,33473.92000000,31910.00000000,32254.20000000,15722.81703100
2021-01-26 03:30:00,32254.19000000,32827.33000000,31458.00000000,31518.66000000,13175.06637200
2021-01-26 07:30:00,31520.25000000,32312.46000000,31100.00000000,31643.61000000,16200.73286800
2021-01-26 11:30:00,31643.61000000,32450.00000000,31373.00000000,31796.95000000,13170.89155200
2021-01-26 15:30:00,31798.65000000,31972.73000000,30837.37000000,31750.23000000,17666.57223000
2021-01-26 19:30:00,31750.24000000,32403.88000000,31300.69000000,32208.33000000,14712.05212800
2021-01-26 23:30:00,32208.33000000,32921.88000000,31855.71000000,32467.77000000,10046.89176000
2021-01-27 03:30:00,32464.01000000,32557.29000000,31568.28000000,31800.86000000,10374.37072600
2021-01-27 07:30:00,31801.27000000,32030.28000000,31350.00000000,31743.33000000,8094.66819200
2021-01-27 11:30:00,31743.33000000,31749.28000000,30578.94000000,30639.05000000,16124.25128800
2021-01-27 15:30:00,30635.74000000,31057.00000000,29241.72000000,30322.61000000,26358.94628900
2021-01-27 19:30:00,30322.59000000,30948.00000000,29500.00000000,30740.33000000,19597.19007000
2021-01-27 23:30:00,30731.57000000,31649.99000000,30084.24000000,30366.15000000,15362.53514600
