,status,totalResults,articles
0,ok,448,"{'source': {'id': 'engadget', 'name': 'Engadget'}, 'author': 'Mat Smith', 'title': 'The Morning After: Some Tesla Superchargers are getting Starlink satellite internet', 'description': 'Tesla seems to be sneakily combining some of its tech projects. We’ll dive into that later — let’s start with Disney. As threatened, the company went hard on the announcements on its streaming service anniversary last Friday.\r\nDisney\r\nAlongside a bunch of new…', 'url': 'https://www.engadget.com/the-morning-after-some-tesla-superchargers-are-getting-starlink-satellite-internet-121559445.html', 'urlToImage': 'https://s.yimg.com/os/creatr-uploaded-images/2021-10/0ab40fa0-3b5e-11ec-a6ff-b714ec121b30', 'publishedAt': '2021-11-15T12:15:59Z', 'content': 'Tesla seems to be sneakily combining some of its tech projects. Well dive into that later lets start with Disney. As threatened, the company went hard on the announcements on its streaming service an… [+3955 chars]'}"
1,ok,448,"{'source': {'id': 'business-insider', 'name': 'Business Insider'}, 'author': 'cshumba@insider.com (Camomile Shumba)', 'title': 'VanEck’s bitcoin futures ETF will launch on Tuesday - after the SEC rejected the company’s spot ETF application', 'description': ""Asset manager VanEck's bitcoin-futures exchange traded fund (ETF) will start trading on Tuesday, Cboe said in a notification."", 'url': 'https://markets.businessinsider.com/news/currencies/vanecks-bitcoin-futures-etf-tuesday-sec-spot-ethereum-proshares-valkyrie-2021-11', 'urlToImage': 'https://images2.markets.businessinsider.com/6192581ad672280019244e84?format=jpeg', 'publishedAt': '2021-11-15T14:18:33Z', 'content': ""Blue bitcoin\r\nYuichiro Chino\r\nAsset manager VanEck's bitcoin futures exchange traded fund (ETF) will start trading Tuesday, the Chicago Board Options Exchange (Cboe) said in a notification.\r\nLast mon… [+1918 chars]""}"
2,ok,448,"{'source': {'id': 'business-insider', 'name': 'Business Insider'}, 'author': 'insider@insider.com (Carla Mozée)', 'title': 'Crypto miner Marathon Digital Holdings is borrowing $500 million to buy bitcoin', 'description': 'The company also said it received a subpoena from the SEC for information about a data center in Montana.', 'url': 'https://markets.businessinsider.com/news/currencies/marathon-digital-stock-price-bitcoin-bond-sale-proceeds-sec-subpeona-2021-11', 'urlToImage': 'https://images2.markets.businessinsider.com/6192abcdd672280019246ab5?format=jpeg', 'publishedAt': '2021-11-15T19:52:22Z', 'content': 'Ozan Kose/Getty Images\r\nMarathon Digital on Monday said it plans to sell hundreds of millions of dollars worth of debt and use some of the funds it raises to buy bitcoin.\xa0\r\nShares dropped, with press… [+1852 chars]'}"
3,ok,448,"{'source': {'id': 'business-insider', 'name': 'Business Insider'}, 'author': 'ilee@insider.com (Isabelle Lee)', 'title': ""The Winklevoss twins' Gemini crypto exchange has added shiba inu coin to its platform following the meme coin's big rally"", 'description': 'Gemini also announced the listing of audius, mask network, quant, radicle, fetch, and wrapped centrifuge, among others.', 'url': 'https://markets.businessinsider.com/news/currencies/shiba-inu-coin-gemini-exchange-altcoin-meme-token-mask-audius-2021-11', 'urlToImage': 'https://images2.markets.businessinsider.com/6178ff635d1dca0019a127a4?format=jpeg', 'publishedAt': '2021-11-15T19:22:55Z', 'content': ""Yuki Cheung/EyeEm/Getty\r\nCrypto exchange Gemini has added shiba inu coin to its platform following meme token's stunning rally this year.\r\nAlong with the dogecoin spinoff, the exchange also announced… [+1539 chars]""}"
4,ok,448,"{'source': {'id': None, 'name': 'StockNews.com'}, 'author': 'Subhasree Kar', 'title': 'As Trading Volume Slumps, is Coinbase Still a Buy?', 'description': 'The crypto economy is growing due to distributed ledger technology growth and rising venture capital investments. Coinbase (COIN) is a well-known name in the crypto industry with a significant market...', 'url': 'https://stocknews.com/news/coin-otex-amswa-fico-as-trading-volume-slumps-is-coinbase-still-a-buy/', 'urlToImage': 'https://assets.entrepreneur.com/providers/stocknews/hero-image-stocknews-397185.jpeg', 'publishedAt': '2021-11-15T13:48:54Z', 'content': 'The crypto economy is growing due to distributed ledger technology growth and rising venture capital investments. Coinbase (COIN) is a well-known name in the crypto industry with a significant market… [+5025 chars]'}"
5,ok,448,"{'source': {'id': 'business-insider', 'name': 'Business Insider'}, 'author': 'cshumba@insider.com (Camomile Shumba)', 'title': 'Anthony Scaramucci says bitcoin will go up at an ""exponential"" rate and will eventually eclipse gold as an inflation hedge', 'description': 'The SkyBridge Capital boss said he believed gold would eventually be overtaken by bitcoin as an inflation hedge.', 'url': 'https://markets.businessinsider.com/news/currencies/anthony-scaramucci-skybridge-capital-bitcoin-gold-inflation-hedge-crypto-2021-11', 'urlToImage': 'https://images2.markets.businessinsider.com/61928106d67228001924586d?format=jpeg', 'publishedAt': '2021-11-15T16:30:38Z', 'content': ""Anthony Scaramucci\r\nHollywood To You/Star Max\r\nSkyBridge Capital's Anthony Scaramucci said in a recent interview that he believes bitcoin will eventually overtake gold, both in terms of the size of t… [+1571 chars]""}"
6,ok,448,"{'source': {'id': 'business-insider', 'name': 'Business Insider'}, 'author': 'gkay@businessinsider.com (Grace Kay)', 'title': ""Satoshi Nakamoto's $64 billion Bitcoin stake is the focal point of a Florida trial — here's what's going on"", 'description': ""The family of a deceased man is claiming their family member helped create Bitcoin. The creator's identity has long been a point of major interest."", 'url': 'https://www.businessinsider.com/bitcoin-creator-64-billion-stake-identity-focal-point-florida-trial-2021-11', 'urlToImage': 'https://i.insider.com/6185833023745d0018254de8?width=1200&format=jpeg', 'publishedAt': '2021-11-15T19:23:22Z', 'content': 'The mystery behind the creator of Bitcoin and their over $64 billion stake has spawned a court case in Florida.\xa0\r\nThe family of a deceased man, David Kleiman, is claiming their family member helped c… [+1988 chars]'}"
7,ok,448,"{'source': {'id': None, 'name': 'Hipertextual'}, 'author': 'Javier Marquez', 'title': 'Bitcoin recibe su mayor actualización en cuatro años: estas son las novedades', 'description': 'Tras cuatro años de espera, se ha actualizado la criptomoneda más popular del mundo. Bitcoin ha estrenado este domingo una mejora de código denominada Taproot. La misma tiene como objetivo ampliar las capacidades de los contratos inteligentes y hacer que las …', 'url': 'https://hipertextual.com/2021/11/bitcoin-recibe-su-mayor-actualizacion-en-cuatro-anos-estas-son-las-novedades', 'urlToImage': 'https://hipertextual.com/wp-content/uploads/2021/11/thought-catalog-I0TDRP0fj6Y-unsplash.jpg', 'publishedAt': '2021-11-15T12:26:02Z', 'content': 'Tras cuatro años de espera, se ha actualizado la criptomoneda más popular del mundo. Bitcoin ha estrenado este domingo una mejora de código denominada Taproot. La misma tiene como objetivo ampliar la… [+2643 chars]'}"
8,ok,448,"{'source': {'id': 'the-next-web', 'name': 'The Next Web'}, 'author': 'The Conversation', 'title': 'Stablecoins could wreak havoc on the financial system', 'description': 'Cryptocurrencies have had an exceptional year, reaching a combined value of more than US$3 trillion (£2.2 trillion) for the first time in November. The market seems to have benefited from the public having time on their hands during pandemic lockdowns. Also, …', 'url': 'https://thenextweb.com/news/stablecoins-wreak-havoc-financial-system-syndication', 'urlToImage': 'https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2021%2F11%2FStableCoin.jpg&signature=d03acd3a977eee81985787aedfaca1ae', 'publishedAt': '2021-11-15T16:02:15Z', 'content': 'Cryptocurrencies have had an exceptional year, reaching a combined value of more than US$3 trillion (£2.2 trillion) for the first time in November. The market seems to have benefited from the public … [+6704 chars]'}"
9,ok,448,"{'source': {'id': None, 'name': 'Xataka.com'}, 'author': 'Pablo Rodríguez', 'title': 'La guerra de toma y daca contra el cibercrimen: crackean al FBI días después de que detengan a autores de importantes ataques con ransomware', 'description': 'La guerra contra la ciberdelincuencia se está recrudeciendo. Distintos informes del sector de la ciberseguridad señalan que el número de ataques cibernéticos no para de aumentar, y las noticias de crackeos a diferentes instituciones y empresas de entidad, com…', 'url': 'https://www.xataka.com/seguridad/guerra-toma-daca-cibercrimen-crackean-al-fbi-dias-despues-que-detengan-a-autores-importantes-ataques-ransomware', 'urlToImage': 'https://i.blogs.es/965010/large/840_560.jpg', 'publishedAt': '2021-11-15T11:00:31Z', 'content': 'La guerra contra la ciberdelincuencia se está recrudeciendo. Distintos informes del sector de la ciberseguridad señalan que el número de ataques cibernéticos no para de aumentar, y las noticias de cr… [+3451 chars]'}"
